상호,시도,시군구,소재지,전산보고여부
주식회사 화,울산광역시,중구,울산광역시 중구 태화로248 (태화동) ,Y
주식회사방동주유소,대전광역시,유성구,대전광역시 유성구 계백로139 (방동) ,Y
주식회사은혜물산,경상북도,포항시,경상북도 포항시 북구 동해대로2262 (청하면) ,Y
주왕산주유소,경상북도,청송군,경상북도 청송군 경동로4872 (진보면) ,Y
주유소티파니블루,경기도,성남시,경기도 성남시 분당구 판교로35 (운중동) ,Y
주유할인마트,경기도,시흥시,경기도 시흥시 수인로2648 (금이동) ,Y
주창구암주유소,전라남도,담양군,전라남도 담양군 제월길280 (봉산면) ,Y
죽산농협주유소,경기도,안성시,경기도 안성시 죽주로159 (죽산면) ,Y
준오토조이(주)성우주유소,경기도,안산시,경기도 안산시 상록구 안산천서로277 (월피동) ,Y
중도가스(주)충청주유소,충청남도,천안시,충청남도 천안시 서북구 봉주로279 (성거읍) ,Y
중도석유(주) 금성주유소,충청북도,청주시,충청북도 청주시 흥덕구 직지대로650 (봉명동) ,Y
중도석유(주) 꽃마을주유소,충청북도,청주시,충청북도 청주시 흥덕구 진재로85-11 (복대동) ,Y
중도석유(주) 대덕주유소,대전광역시,서구,대전광역시 서구 월평북로84 (월평동) ,Y
중도석유(주) 옥산(하)주유소,충청북도,청주시,충청북도 청주시 흥덕구 경부고속도로309-1 (옥산면) ,Y
중도석유(주)관문주유소,충청북도,청주시,충청북도 청주시 흥덕구 가로수로1353 (복대동) ,Y
중도석유(주)도마동주유소,대전광역시,서구,대전광역시 서구 계백로1371 (도마동) ,Y
중도석유(주)오정동주유소,대전광역시,대덕구,대전광역시 대덕구 대전로1144 (오정동) ,Y
중도석유(주)월드컵주유소,대전광역시,서구,대전광역시 서구 문정로12 (탄방동) ,Y
중도석유(주)중도행복주유소,충청남도,아산시,충청남도 아산시 고속철대로171 (배방읍) ,Y
중동주유소,대전광역시,서구,대전광역시 서구 계룡로344 (갈마동) ,Y
중마우리알뜰주유소,전라남도,광양시,전라남도 광양시 행정2길30 (중동) ,Y
중문농협주유소,제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주서로872 (색달동) ,Y
중부농협주유소,경기도,광주시,경기도 광주시 회안대로1426 (남한산성면) ,Y
중부주유소,경기도,하남시,경기도 하남시 하남대로557 (천현동) ,Y
중앙고속주유소,경상북도,칠곡군,경상북도 칠곡군 인동가산로725 (가산면) ,Y
